date,confirmed,recovered,death
1/22/20,0,0,0
1/23/20,0,0,0
1/24/20,0,0,0
1/25/20,0,0,0
1/26/20,0,0,0
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,0
1/30/20,0,0,0
1/31/20,0,0,0
2/1/20,0,0,0
2/2/20,0,0,0
2/3/20,0,0,0
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,0
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,0
2/12/20,0,0,0
2/13/20,0,0,0
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,0
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,0,0,0
2/27/20,0,0,0
2/28/20,0,0,0
2/29/20,0,0,0
3/1/20,0,0,0
3/2/20,0,0,0
3/3/20,0,0,0
3/4/20,0,0,0
3/5/20,1,0,0
3/6/20,1,0,0
3/7/20,6,0,0
3/8/20,7,0,0
3/9/20,11,0,0
3/10/20,11,0,0
3/11/20,15,0,0
3/12/20,28,0,0
3/13/20,38,0,0
3/14/20,43,0,0
3/15/20,86,0,0
3/16/20,117,0,0
3/17/20,145,1,0
3/18/20,234,1,0
3/19/20,234,1,0
3/20/20,318,1,3
3/21/20,363,1,5
3/22/20,395,1,5
3/23/20,416,1,5
3/24/20,480,1,7
3/25/20,580,1,9
3/26/20,635,14,9
3/27/20,671,16,11
3/28/20,852,16,16
3/29/20,950,16,18
3/30/20,1065,53,24
3/31/20,1323,394,30
4/1/20,1414,394,38
4/2/20,1595,537,55
4/3/20,1746,537,61
4/4/20,2281,914,73
4/5/20,2561,989,83
4/6/20,2954,997,92
4/7/20,4342,1301,107
4/8/20,5256,1333,121
4/9/20,5897,1438,138
4/10/20,6848,1569,169
4/11/20,7519,1739,181
4/12/20,9784,1798,193
4/13/20,10303,2642,216
4/14/20,11475,2869,230
4/15/20,12491,3108,254
4/16/20,13489,6120,274
4/17/20,14420,6541,300
4/18/20,15628,6684,348
4/19/20,16325,6811,400
4/20/20,17837,6968,445
4/21/20,19250,6982,484
4/22/20,20914,7027,530
4/23/20,21648,7422,572
4/24/20,25331,7496,634
4/25/20,27517,7797,700
4/26/20,28699,8088,728
4/27/20,31190,8425,782
4/28/20,33931,9179,854
4/29/20,36976,10037,943
4/30/20,40459,10405,1051
5/1/20,42534,11129,1124
5/2/20,45928,12434,1200
5/3/20,47372,13550,1286
5/4/20,51189,14427,1344
5/5/20,54817,15413,1444
5/6/20,58526,17527,1533
5/7/20,61847,18388,1627
5/8/20,65015,19012,1714
5/9/20,67307,20246,1814
5/10/20,68822,21349,1889
5/11/20,72059,22406,1961
5/12/20,76306,23324,2057
5/13/20,80604,24324,2169
5/14/20,84495,25151,2267
5/15/20,88541,27147,2392
5/16/20,92273,28272,2523
5/17/20,94933,28621,2648
5/18/20,99483,30306,2789
5/19/20,104020,36524,2914
5/20/20,108769,41968,3024
5/21/20,111698,43587,3148
5/22/20,115754,44848,3244
5/23/20,119959,47915,3373
5/24/20,123979,49795,3456
5/25/20,129751,50949,3629
5/26/20,135905,52906,3788
5/27/20,141779,56169,3983
5/28/20,148285,59442,4099
5/29/20,155671,62791,4230
5/30/20,164476,66447,4371
5/31/20,170039,67208,4506
6/1/20,170039,68507,4634
6/2/20,178914,69257,4634
6/3/20,183198,72319,4894
6/4/20,187400,76228,5031
